"","data_source","model_ensemble","predictionScaled","no_transScaled","smth_transScaled","crt_transScaled","predictionUnscaled","no_transUnscaled","smth_transUnscaled","crt_transUnscaled","lake","res","method","computation"
"1","Anabaena","25","Smooth Transition",0.0301614925265312,0.928623676300049,0.0412148870527744,"Critical Transition",0.003837282769382,0.172959789633751,0.823202967643738,"Kinneret","Yearly","EWSNet","ML"
"2","Aphanizomenon","25","Smooth Transition",0.0216694697737694,0.968830049037933,0.00950054917484522,"Critical Transition",5.17266880706302e-06,0.0797361880540848,0.920258641242981,"Kinneret","Yearly","EWSNet","ML"
"3","Aphanocapsa","25","No Transition",0.802686870098114,0.181795805692673,0.0155173633247614,"Critical Transition",0.00234837969765067,0.0729010924696922,0.924750506877899,"Kinneret","Yearly","EWSNet","ML"
"4","Chroococcus","25","Smooth Transition",0.00452617509290576,0.988985538482666,0.00648839399218559,"Critical Transition",0,0.0399999991059303,0.959999978542328,"Kinneret","Yearly","EWSNet","ML"
"5","Cyanodictyon","25","Smooth Transition",0.0515777431428432,0.930075764656067,0.0183465126901865,"Critical Transition",0.0399999991059303,0.0399999991059303,0.920000016689301,"Kinneret","Yearly","EWSNet","ML"
"6","Lyngbya","25","Smooth Transition",0.0155908260494471,0.962841510772705,0.0215676929801702,"Critical Transition",0.0180665794759989,0.0745512098073959,0.907382071018219,"Kinneret","Yearly","EWSNet","ML"
"7","Microcystis","25","Smooth Transition",0.139291062951088,0.847832202911377,0.0128766382113099,"Critical Transition",0,0.0399999991059303,0.959999978542328,"Kinneret","Yearly","EWSNet","ML"
"8","Radiocystis","25","Smooth Transition",0.0231975074857473,0.972563982009888,0.00423846300691366,"Critical Transition",0.0399999991059303,0.0400122180581093,0.919987797737122,"Kinneret","Yearly","EWSNet","ML"
"9","Aulacoseira","25","Smooth Transition",0.0155752087011933,0.974399387836456,0.0100254248827696,"Critical Transition",1.52181910056692e-38,0.11999873071909,0.880001306533813,"Kinneret","Yearly","EWSNet","ML"
"10","Cyclotella","25","Smooth Transition",0.00878662616014481,0.972655713558197,0.0185575950890779,"Critical Transition",3.86000874641468e-06,0.0788514241576195,0.921144723892212,"Kinneret","Yearly","EWSNet","ML"
"11","Nitzschia","25","Smooth Transition",0.023089187219739,0.967036664485931,0.00987406447529793,"Critical Transition",0.0321756713092327,0.045118797570467,0.9227055311203,"Kinneret","Yearly","EWSNet","ML"
