"","data_source","model_ensemble","predictionScaled","no_transScaled","smth_transScaled","crt_transScaled","predictionUnscaled","no_transUnscaled","smth_transUnscaled","crt_transUnscaled","lake","res","method","computation","troph_level"
"1","Anabaena","25","Smooth Transition",0.0339233614504337,0.9599609375,0.00611562607809901,"Critical Transition",0.003125527407974,0.143459603190422,0.85341489315033,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"2","Aphanizomenon","25","Smooth Transition",0.019763458520174,0.97797828912735,0.00225822208449244,"Critical Transition",0.0399992018938065,0.111586600542068,0.848414182662964,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"3","Aphanocapsa","25","Smooth Transition",0.274283945560455,0.716795444488525,0.00892060622572899,"Critical Transition",0.000755639281123877,0.0662633776664734,0.932981133460999,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"4","Chroococcus","25","Smooth Transition",0.0246869754046202,0.971203744411469,0.00410929834470153,"Critical Transition",0.0399999991059303,0.119999997317791,0.839999973773956,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"5","Cyanodictyon","25","Smooth Transition",0.0128031382337213,0.968463957309723,0.0187327787280083,"Critical Transition",0.0399999991059303,0.0399999991059303,0.920000016689301,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"6","Lyngbya","25","Smooth Transition",0.262560606002808,0.730136156082153,0.0073031447827816,"Critical Transition",0.0145679246634245,0.0577618554234505,0.927670240402222,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"7","Microcystis","25","Smooth Transition",0.270513892173767,0.705632865428925,0.0238531827926636,"Critical Transition",0.0399999991059303,0.0799999982118607,0.879999995231628,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"8","Radiocystis","25","Smooth Transition",0.0202705785632133,0.969555795192719,0.0101736141368747,"Critical Transition",0,0.0799999982118607,0.920000016689301,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"9","Aulacoseira","25","Smooth Transition",0.0145921222865582,0.962702035903931,0.0227057877928019,"Critical Transition",7.41992550283972e-16,0.0803585648536682,0.919641435146332,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"10","Cyclotella","25","Smooth Transition",0.0135701866820455,0.971751630306244,0.0146783366799355,"Critical Transition",1.06489554036807e-32,0.0781271383166313,0.921872854232788,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"11","Nitzschia","25","Smooth Transition",0.155318692326546,0.832548141479492,0.0121331550180912,"Critical Transition",0.0373575650155544,0.0426761470735073,0.919966220855713,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"12","Synedra","25","Smooth Transition",0.066911056637764,0.914054393768311,0.0190344266593456,"Critical Transition",1.83827308834252e-17,0.119921639561653,0.880078375339508,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"13","Chlamydomonas","25","Smooth Transition",0.0117696765810251,0.971998929977417,0.016231469810009,"Critical Transition",0.0068720942363143,0.120487429201603,0.872640430927277,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"14","Chlorella","25","Smooth Transition",0.189756944775581,0.807389676570892,0.00285344012081623,"Critical Transition",3.91486428270582e-05,0.118595942854881,0.88136488199234,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"15","Chlorophyte","25","Smooth Transition",0.0398519076406956,0.958229780197144,0.00191825104411691,"Critical Transition",0.0396456941962242,0.079958014190197,0.880396246910095,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"16","Chodatella","25","Smooth Transition",0.00826410204172134,0.961356818675995,0.0303790830075741,"Critical Transition",9.1750526193148e-22,0.0800451263785362,0.919954836368561,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"17","Closterium","25","Smooth Transition",0.0130133535712957,0.962239146232605,0.0247474852949381,"Critical Transition",0.039998110383749,0.0801600366830826,0.879841864109039,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"18","Coelastrum","25","Smooth Transition",0.182905375957489,0.782451868057251,0.0346427671611309,"Critical Transition",1.8784405368513e-30,0.119993440806866,0.880006551742554,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"19","Cosmarium","25","Smooth Transition",0.0856287926435471,0.903027415275574,0.0113437520340085,"Critical Transition",2.16264560513185e-13,0.115426629781723,0.884573340415955,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"20","Oocystis","25","Smooth Transition",0.0212734155356884,0.96995347738266,0.00877318531274796,"Critical Transition",0,0.0799999013543129,0.920000076293945,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"21","Pediastrum","25","Smooth Transition",0.057998675853014,0.93092554807663,0.0110757080838084,"Critical Transition",0.0399999804794788,0.0972721949219704,0.86272782087326,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"22","Scenedesmus","25","Smooth Transition",0.0193632189184427,0.973284602165222,0.00735222641378641,"Critical Transition",4.80520179202415e-10,0.11999899148941,0.880001068115234,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"23","Tetraedron","25","Smooth Transition",0.0145442457869649,0.968397378921509,0.0170585047453642,"Critical Transition",4.41403370018273e-13,0.156970620155334,0.843029379844666,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"24","Tetrastrum","25","Smooth Transition",0.0318875946104527,0.943586647510529,0.0245258361101151,"Critical Transition",0.00398389948531985,0.155156642198563,0.840859353542328,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"25","Peridinium","25","Smooth Transition",0.0178438015282154,0.976360499858856,0.00579574098810554,"Critical Transition",0.0397279113531113,0.122328005731106,0.837944090366364,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"26","Cryptomonas","25","Smooth Transition",0.0322685986757278,0.964037775993347,0.00369369355030358,"Critical Transition",9.58610053203302e-06,0.0846683531999588,0.915322124958038,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"27","Rhodomonas","25","Smooth Transition",0.0258778836578131,0.957879662513733,0.0162423960864544,"Critical Transition",3.42981184076052e-05,0.0800023972988129,0.919963240623474,"Kinneret","Yearly","EWSNet","ML","phytoplankton"
"28","Acanthoceras","25","Smooth Transition",0.0122847743332386,0.959127247333527,0.0285880640149117,"Critical Transition",0.0218456573784351,0.195812240242958,0.782342076301575,"Kasumigaura","Yearly","EWSNet","ML","phytoplankton"
"29","Actinastrum","25","Smooth Transition",0.0144696459174156,0.974842071533203,0.0106882639229298,"Critical Transition",0.00922244694083929,0.116869993507862,0.873907566070557,"Kasumigaura","Yearly","EWSNet","ML","phytoplankton"
"30","Actinocyclus","25","Smooth Transition",0.0395459160208702,0.938059747219086,0.0223943144083023,"Critical Transition",0.0399999991059303,0.0399999991059303,0.920000016689301,"Kasumigaura","Yearly","EWSNet","ML","phytoplankton"
"31","Anabaenopsis","25","Smooth Transition",0.0343624539673328,0.945533692836761,0.020103907212615,"Critical Transition",0.0399999991059303,0.0824389234185219,0.877561032772064,"Kasumigaura","Yearly","EWSNet","ML","phytoplankton"
"32","Ankistrodesmus","25","Smooth Transition",0.00966020673513412,0.969005048274994,0.0213347002863884,"Critical Transition",0.0263639744371176,0.105637729167938,0.86799830198288,"Kasumigaura","Yearly","EWSNet","ML","phytoplankton"
"33","Ankyra","25","Smooth Transition",0.00919419433921576,0.963567435741425,0.0272384770214558,"Critical Transition",0.0127054369077086,0.184844195842743,0.802450358867645,"Kasumigaura","Yearly","EWSNet","ML","phytoplankton"
