"","time","metric.code","metric.score","rolling.mean","rolling.sd","threshold.crossed","str","lake","res","method","computation"
"1",1982,"maxAR",NA,NA,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"2",1983,"maxAR",0.707106781186546,0.707106781186546,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"3",1984,"maxAR",0.325765471835275,0.516436126510911,0.269649025788841,0,-0.707106781186548,"Kinneret","Yearly","multivariate EWS","expanding"
"4",1985,"maxAR",-1.38449282981886,-0.117206858932348,1.11394146953903,0,-1.13765938834376,"Kinneret","Yearly","multivariate EWS","expanding"
"5",1986,"maxAR",-1.68581596396761,-0.509359135191163,1.20099015932926,0,-0.979572413343905,"Kinneret","Yearly","multivariate EWS","expanding"
"6",1987,"maxAR",-0.604444047930255,-0.528376117738982,1.04095689162924,0,-0.0730750051255398,"Kinneret","Yearly","multivariate EWS","expanding"
"7",1988,"maxAR",-1.34413400278451,-0.66433576524657,0.988829183775773,0,-0.687477927120013,"Kinneret","Yearly","multivariate EWS","expanding"
"8",1989,"maxAR",-1.08962563504244,-0.725091460931694,0.916874079402128,0,-0.397583683845055,"Kinneret","Yearly","multivariate EWS","expanding"
"9",1990,"maxAR",-1.18913240711522,-0.783096579204634,0.864569729043218,0,-0.469639190768251,"Kinneret","Yearly","multivariate EWS","expanding"
"10",1991,"maxAR",-0.840740780369124,-0.789501490445133,0.808959158624598,0,-0.0633397735568122,"Kinneret","Yearly","multivariate EWS","expanding"
"11",1992,"maxAR",-0.51420911518635,-0.761972252919255,0.767646234007205,0,0.322756924683329,"Kinneret","Yearly","multivariate EWS","expanding"
"12",1993,"maxAR",-0.886133684866116,-0.773259655823515,0.729214732869855,0,-0.154788464844066,"Kinneret","Yearly","multivariate EWS","expanding"
"13",1994,"maxAR",-0.747951980961912,-0.771150682918381,0.695317348838308,0,0.0333641926168362,"Kinneret","Yearly","multivariate EWS","expanding"
"14",1982,"maxSD",NA,NA,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"15",1983,"maxSD",-0.70710678118655,-0.70710678118655,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"16",1984,"maxSD",-0.989431415511424,-0.848269098348987,0.19963366342713,0,-0.707106781186548,"Kinneret","Yearly","multivariate EWS","expanding"
"17",1985,"maxSD",-0.823740853058622,-0.840093016585532,0.141870873422547,0,0.115260892757086,"Kinneret","Yearly","multivariate EWS","expanding"
"18",1986,"maxSD",-1.07126475327563,-0.897885950758056,0.163640834690479,0,-1.05950817743941,"Kinneret","Yearly","multivariate EWS","expanding"
"19",1987,"maxSD",-0.725210529286698,-0.863350866463785,0.161391146968196,0,0.855935035918104,"Kinneret","Yearly","multivariate EWS","expanding"
"20",1988,"maxSD",-1.10721147657257,-0.903994301481916,0.175353969776011,0,-1.15889691776147,"Kinneret","Yearly","multivariate EWS","expanding"
"21",1989,"maxSD",-1.28216497123598,-0.958018682875354,0.214603390990863,0,-1.5104434597421,"Kinneret","Yearly","multivariate EWS","expanding"
"22",1990,"maxSD",-1.43026422727815,-1.0170493759257,0.259523344664494,0,-1.59220686634816,"Kinneret","Yearly","multivariate EWS","expanding"
"23",1991,"maxSD",-1.43478738449171,-1.06346471021082,0.279862055187557,0,-1.32680607248469,"Kinneret","Yearly","multivariate EWS","expanding"
"24",1992,"maxSD",-1.51102498448812,-1.10822073763855,0.299418202272802,0,-1.34528977794937,"Kinneret","Yearly","multivariate EWS","expanding"
"25",1993,"maxSD",-1.47409276087857,-1.14148183066037,0.30472190152025,0,-1.09152288876781,"Kinneret","Yearly","multivariate EWS","expanding"
"26",1994,"maxSD",-1.51220771938492,-1.17237565472075,0.309624246885111,0,-1.09756283005275,"Kinneret","Yearly","multivariate EWS","expanding"
"27",1982,"meanAR",NA,NA,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"28",1983,"meanAR",0.707106781186547,0.707106781186547,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"29",1984,"meanAR",0.865707770838531,0.786407276012539,0.112147835285815,0,0.707106781186547,"Kinneret","Yearly","multivariate EWS","expanding"
"30",1985,"meanAR",0.0422591190180936,0.538357890347724,0.436891361399747,0,-1.13551975424781,"Kinneret","Yearly","multivariate EWS","expanding"
"31",1986,"meanAR",-1.41540623970446,0.0499168578346771,1.03997497249379,0,-1.40899842428457,"Kinneret","Yearly","multivariate EWS","expanding"
"32",1987,"meanAR",-0.881442162295723,-0.136354946191403,0.99229374805838,0,-0.750873637531458,"Kinneret","Yearly","multivariate EWS","expanding"
"33",1988,"meanAR",-1.56645514966247,-0.374704980103247,1.06234737159898,0,-1.12180836647195,"Kinneret","Yearly","multivariate EWS","expanding"
"34",1989,"meanAR",-0.937049985246578,-0.455039980838009,0.992804580311468,0,-0.485503405168971,"Kinneret","Yearly","multivariate EWS","expanding"
"35",1990,"meanAR",-0.630003264126458,-0.476910391249065,0.92123761785137,0,-0.166181742810781,"Kinneret","Yearly","multivariate EWS","expanding"
"36",1991,"meanAR",-0.120413594310429,-0.437299636033661,0.869893678753341,0,0.364281347781911,"Kinneret","Yearly","multivariate EWS","expanding"
"37",1992,"meanAR",-0.206796972151677,-0.414249369645462,0.823376411081644,0,0.251953292202361,"Kinneret","Yearly","multivariate EWS","expanding"
"38",1993,"meanAR",-1.3531160264692,-0.499600883902166,0.830835443236597,0,-1.02729746246992,"Kinneret","Yearly","multivariate EWS","expanding"
"39",1994,"meanAR",-1.72388995117357,-0.601624972841449,0.867433627585898,0,-1.29377619525246,"Kinneret","Yearly","multivariate EWS","expanding"
"40",1982,"meanSD",NA,NA,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"41",1983,"meanSD",-0.70710678118655,-0.70710678118655,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"42",1984,"meanSD",-0.961815657972725,-0.834461219579637,0.180106374003913,0,-0.707106781186548,"Kinneret","Yearly","multivariate EWS","expanding"
"43",1985,"meanSD",-0.70533479094034,-0.791419076699872,0.147570427828428,0,0.5833437432303,"Kinneret","Yearly","multivariate EWS","expanding"
"44",1986,"meanSD",-0.975553733935781,-0.837452741008849,0.151639090535686,0,-0.91072158530542,"Kinneret","Yearly","multivariate EWS","expanding"
"45",1987,"meanSD",-1.025847586637,-0.875131710134479,0.156026708949841,0,-0.96596202994304,"Kinneret","Yearly","multivariate EWS","expanding"
"46",1988,"meanSD",-1.19309230734348,-0.928125143002646,0.190591948118205,0,-1.39023272996037,"Kinneret","Yearly","multivariate EWS","expanding"
"47",1989,"meanSD",-1.31189685032684,-0.982949672620388,0.226519709755148,0,-1.45217905347847,"Kinneret","Yearly","multivariate EWS","expanding"
"48",1990,"meanSD",-1.46405688749016,-1.04308807447911,0.27002597933747,0,-1.55899374587559,"Kinneret","Yearly","multivariate EWS","expanding"
"49",1991,"meanSD",-1.55662088269905,-1.10014727539244,0.305125461912508,0,-1.49601938968144,"Kinneret","Yearly","multivariate EWS","expanding"
"50",1992,"meanSD",-1.61660448621999,-1.15179299647519,0.330801656856789,0,-1.40510629288058,"Kinneret","Yearly","multivariate EWS","expanding"
"51",1993,"meanSD",-1.54690759515198,-1.18771250544581,0.335677054522453,0,-1.07006149174294,"Kinneret","Yearly","multivariate EWS","expanding"
"52",1994,"meanSD",-1.50580255772122,-1.21422000980209,0.332967423637112,0,-0.875708934928469,"Kinneret","Yearly","multivariate EWS","expanding"
"53",1982,"eigenCOV",NA,NA,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"54",1983,"eigenCOV",-0.707106781186545,-0.707106781186545,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"55",1984,"eigenCOV",-0.891164070577058,-0.799135425881802,0.130148157454847,0,-0.707106781186548,"Kinneret","Yearly","multivariate EWS","expanding"
"56",1985,"eigenCOV",-0.928581619663752,-0.842284157142452,0.1185525641758,0,-0.727925735906739,"Kinneret","Yearly","multivariate EWS","expanding"
"57",1986,"eigenCOV",-0.770404294783313,-0.824314191552667,0.103254470290461,0,0.52210714575071,"Kinneret","Yearly","multivariate EWS","expanding"
"58",1987,"eigenCOV",-1.01478090935584,-0.862407535113301,0.123497483149921,0,-1.23381764839336,"Kinneret","Yearly","multivariate EWS","expanding"
"59",1988,"eigenCOV",-0.0241159551239248,-0.722692271781738,0.359615671964306,0,1.94256360642467,"Kinneret","Yearly","multivariate EWS","expanding"
"60",1989,"eigenCOV",0.148732935361274,-0.598202956475594,0.465029734152952,0,1.60621103766065,"Kinneret","Yearly","multivariate EWS","expanding"
"61",1990,"eigenCOV",-0.448184551944293,-0.579450655909181,0.433788667006683,0,0.302603811368972,"Kinneret","Yearly","multivariate EWS","expanding"
"62",1991,"eigenCOV",-0.289500802473065,-0.54723400552739,0.417123776266599,0,0.617881832009496,"Kinneret","Yearly","multivariate EWS","expanding"
"63",1992,"eigenCOV",-0.166862713966032,-0.509196876371255,0.411251753838194,0,0.832419945228763,"Kinneret","Yearly","multivariate EWS","expanding"
"64",1993,"eigenCOV",1.27966529901903,-0.346573042244866,0.665677722488241,1,2.44298147035049,"Kinneret","Yearly","multivariate EWS","expanding"
"65",1994,"eigenCOV",1.23044224843473,-0.215155101354899,0.781083014267863,0,1.85076019242928,"Kinneret","Yearly","multivariate EWS","expanding"
"66",1982,"eigenMAF",NA,NA,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"67",1983,"eigenMAF",0.707106781186548,0.707106781186548,NA,0,NA,"Kinneret","Yearly","multivariate EWS","expanding"
"68",1984,"eigenMAF",0.887515595759047,0.797311188472797,0.127568296170041,0,0.707106781186548,"Kinneret","Yearly","multivariate EWS","expanding"
"69",1985,"eigenMAF",-0.169196873820155,0.475141834375146,0.565257563640643,0,-1.1399028507382,"Kinneret","Yearly","multivariate EWS","expanding"
"70",1986,"eigenMAF",0.714751318956705,0.535044205520536,0.476826927138136,0,0.376881218757405,"Kinneret","Yearly","multivariate EWS","expanding"
"71",1987,"eigenMAF",0.92145005846856,0.612325376110141,0.447643647862333,0,0.690559742854849,"Kinneret","Yearly","multivariate EWS","expanding"
"72",1988,"eigenMAF",0.0708548812793419,0.522080293638341,0.457354258577799,0,-0.986599345903417,"Kinneret","Yearly","multivariate EWS","expanding"
"73",1989,"eigenMAF",0.922239053263868,0.579245830727702,0.444056364982021,0,0.772409202039143,"Kinneret","Yearly","multivariate EWS","expanding"
"74",1990,"eigenMAF",0.208531601164662,0.532906552032322,0.431503474855522,0,-0.751731955290207,"Kinneret","Yearly","multivariate EWS","expanding"
"75",1991,"eigenMAF",1.1791013605821,0.60470597520452,0.457512029592211,0,1.25547602735069,"Kinneret","Yearly","multivariate EWS","expanding"
"76",1992,"eigenMAF",-0.00930274902441062,0.543305102781626,0.473033249930581,0,-1.16822200529695,"Kinneret","Yearly","multivariate EWS","expanding"
"77",1993,"eigenMAF",0.315590290518403,0.522603756212243,0.453980630901299,0,-0.455996250947646,"Kinneret","Yearly","multivariate EWS","expanding"
