"Parameter","Median","CI_low","CI_high","Rhat","ESS"
"linear-none",0.109,-0.42,0.647,1,5858.11
"loess-none",0.155,-0.377,0.692,1,5716.95
"gaussian-none",0.198,-0.344,0.729,1,5788.42
"none-average",-0.375,-0.912,0.164,1,5913.66
"none-decompose",-0.291,-0.839,0.245,1,5769.71
"none-stl",-0.194,-0.713,0.332,1,5565.13
"linear-average",-0.199,-0.736,0.321,1,5946.3
"loess-average",-0.068,-0.602,0.467,1,5412.68
"gaussian-average",-0.071,-0.6,0.458,1,5879.94
"linear-decompose",-0.069,-0.592,0.473,1,5625.25
"loess-decompose",-0.07,-0.599,0.464,1,5662.73
"gaussian-decompose",0.149,-0.367,0.7,1,5808.23
"linear-stl",-0.021,-0.539,0.495,1,5721.08
"loess-stl",0.063,-0.477,0.6,1,5753.3
"gaussian-stl",-0.021,-0.576,0.504,1,5879.66
