"","Parameter","Median","CI_low","CI_high","Rhat","ESS"
"3","ar1 + SD_expanding",0.572,-1.437,2.439,1,7047.26
"5","ar1 + skew_expanding",-0.408,-2.538,1.608,1,6992.48
"1","ar1_expanding",-0.406,-2.524,1.553,1,7670.5
"2","ar1_rolling",0.172,-1.199,1.515,1,7068.68
"6","eigenCOV_expanding",-0.25,-2.525,1.828,1,7251.68
"7","eigenCOV_rolling",0.923,-0.795,2.643,1,7166.63
"8","eigenMAF_expanding",-0.237,-2.397,1.83,1,7260.28
"9","eigenMAF_rolling",0.923,-0.816,2.659,1,7165.82
"10","mafAR_expanding",-0.24,-2.464,1.875,1,6856.17
"11","mafAR_rolling",0.232,-1.453,1.939,1,6901.05
"12","mafSD_expanding",-0.231,-2.434,1.857,1,6818.39
"13","mafSD_rolling",0.249,-1.481,1.937,1,7209.95
"14","maxAR_expanding",-0.251,-2.459,1.867,1,7297.64
"15","maxAR_rolling",-0.477,-2.209,1.217,1,7387.4
"16","maxCOV_expanding",-0.253,-2.465,1.789,1,7216.45
"17","maxCOV_rolling",0.905,-0.749,2.649,1,7230.45
"18","maxSD_expanding",-0.222,-2.512,1.889,1,7323.75
"19","maxSD_rolling",-0.454,-2.261,1.258,1,7075.98
"20","meanAR_expanding",-0.234,-2.449,1.831,1,7054.79
"21","meanAR_rolling",0.221,-1.521,1.904,1,7148.85
"22","meanSD_expanding",-0.268,-2.454,1.859,1,7178.53
"23","meanSD_rolling",-0.462,-2.286,1.186,1,7112
"24","mutINFO_expanding",-0.248,-2.47,1.872,1,7236.54
"25","mutINFO_rolling",-1.211,-3.128,0.496,1,7054.34
"26","pcaAR_expanding",-0.272,-2.432,1.851,1,7251.23
"27","pcaAR_rolling",-0.473,-2.242,1.243,1,7197.75
"28","pcaSD_expanding",-0.269,-2.399,1.887,1,6907.13
"29","pcaSD_rolling",0.912,-0.82,2.692,1,7124.44
"30","scaled_ML",-2.558,-4.38,-0.882,1,7169.49
"33","SD + skew_expanding",-0.402,-2.517,1.555,1,7211.07
"31","SD_expanding",-0.378,-2.531,1.491,1,7103.37
"32","SD_rolling",0.404,-0.952,1.709,1,7002.61
"34","skew_expanding",-0.393,-2.513,1.587,1,7342.03
"35","skew_rolling",0.513,-0.874,1.852,1,7251.06
"36","unscaled_ML",2.092,0.516,3.682,1,6851.29
